2021-03-20-16-36: epoch: 39 |loss -1.218494 | hm_loss 0.389020 | wh_loss 0.524206 | off_loss 0.042714 | id_loss 0.023421 | time 9.666667 | 
2021-03-20-16-46: epoch: 40 |loss -1.241149 | hm_loss 0.387641 | wh_loss 0.507929 | off_loss 0.042189 | id_loss 0.022556 | time 9.533333 | 
2021-03-20-16-55: epoch: 41 |loss -1.271093 | hm_loss 0.385267 | wh_loss 0.512591 | off_loss 0.042500 | id_loss 0.021167 | time 9.600000 | 
2021-03-20-17-05: epoch: 42 |loss -1.302684 | hm_loss 0.378684 | wh_loss 0.522385 | off_loss 0.042344 | id_loss 0.020007 | time 9.650000 | 
2021-03-20-17-15: epoch: 43 |loss -1.336866 | hm_loss 0.375397 | wh_loss 0.503468 | off_loss 0.042388 | id_loss 0.018741 | time 9.633333 | 
2021-03-20-17-24: epoch: 44 |loss -1.368408 | hm_loss 0.371443 | wh_loss 0.492854 | off_loss 0.042069 | id_loss 0.017690 | time 9.583333 | 
2021-03-20-17-34: epoch: 45 |loss -1.414941 | hm_loss 0.368205 | wh_loss 0.484299 | off_loss 0.041894 | id_loss 0.015893 | time 9.666667 | 
2021-03-20-17-44: epoch: 46 |loss -1.422648 | hm_loss 0.366880 | wh_loss 0.486005 | off_loss 0.041582 | id_loss 0.015935 | time 9.666667 | 
2021-03-20-17-53: epoch: 47 |loss -1.421434 | hm_loss 0.366126 | wh_loss 0.475691 | off_loss 0.041553 | id_loss 0.016335 | time 9.583333 | 
2021-03-20-18-03: epoch: 48 |loss -1.449785 | hm_loss 0.365489 | wh_loss 0.480600 | off_loss 0.041531 | id_loss 0.015252 | time 9.650000 | 
2021-03-20-18-13: epoch: 49 |loss -1.471666 | hm_loss 0.358030 | wh_loss 0.470238 | off_loss 0.041159 | id_loss 0.014926 | time 9.583333 | 
2021-03-20-18-22: epoch: 50 |loss -1.497898 | hm_loss 0.355743 | wh_loss 0.472250 | off_loss 0.041280 | id_loss 0.014086 | time 9.633333 | 
2021-03-20-18-32: epoch: 51 |loss -1.529817 | hm_loss 0.354237 | wh_loss 0.463078 | off_loss 0.041236 | id_loss 0.013061 | time 9.666667 | 
2021-03-20-18-42: epoch: 52 |loss -1.531431 | hm_loss 0.351727 | wh_loss 0.452721 | off_loss 0.040798 | id_loss 0.013374 | time 9.633333 | 
2021-03-20-18-51: epoch: 53 |loss -1.576812 | hm_loss 0.347949 | wh_loss 0.452158 | off_loss 0.040914 | id_loss 0.011902 | time 9.600000 | 
2021-03-20-19-01: epoch: 54 |loss -1.591855 | hm_loss 0.347191 | wh_loss 0.457781 | off_loss 0.040920 | id_loss 0.011531 | time 9.650000 | 
2021-03-20-19-11: epoch: 55 |loss -1.631434 | hm_loss 0.343295 | wh_loss 0.445372 | off_loss 0.040671 | id_loss 0.010480 | time 9.666667 | 
2021-03-20-19-20: epoch: 56 |loss -1.639255 | hm_loss 0.342856 | wh_loss 0.437013 | off_loss 0.040271 | id_loss 0.010474 | time 9.533333 | 
2021-03-20-19-30: epoch: 57 |loss -1.672137 | hm_loss 0.340129 | wh_loss 0.429192 | off_loss 0.040396 | id_loss 0.009623 | time 9.616667 | 
2021-03-20-19-39: epoch: 58 |loss -1.695468 | hm_loss 0.337154 | wh_loss 0.440971 | off_loss 0.040472 | id_loss 0.009068 | time 9.633333 | 
2021-03-20-19-49: epoch: 59 |loss -1.723740 | hm_loss 0.334916 | wh_loss 0.425869 | off_loss 0.040161 | id_loss 0.008468 | time 9.633333 | 
2021-03-20-19-59: epoch: 60 |loss -1.719144 | hm_loss 0.334279 | wh_loss 0.427395 | off_loss 0.040108 | id_loss 0.008820 | time 9.650000 | 
2021-03-20-20-08: epoch: 61 |loss -1.745805 | hm_loss 0.332040 | wh_loss 0.416210 | off_loss 0.039911 | id_loss 0.008217 | time 9.600000 | 
2021-03-20-20-18: epoch: 62 |loss -1.758412 | hm_loss 0.331239 | wh_loss 0.413665 | off_loss 0.039668 | id_loss 0.008002 | time 9.683333 | 
2021-03-20-20-28: epoch: 63 |loss -1.783933 | hm_loss 0.327851 | wh_loss 0.412424 | off_loss 0.039578 | id_loss 0.007458 | time 9.600000 | 
